Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-03-17 17:48:18,false,"Copenhagen - Main run 2023","6.91","463","00:30:09","160","170","3.6","183","192","4:22","3:48","27","28","1.17","5.9","7.1","262","49.4% L / 50.6% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.25","11","0.0","00:30:06","00:30:09","--","14"
Running,2023-03-14 17:48:50,false,"Copenhagen - Main run 2023","6.78","467","00:30:09","162","171","3.8","182","187","4:27","4:04","19","18","1.21","5.8","7.3","262","49.3% L / 50.7% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.52","11","0.0","00:30:04","00:30:09","--","17"
Running,2023-03-11 19:10:59,false,"Copenhagen - Main run 2023","6.60","455","00:30:21","159","168","3.7","181","188","4:36","4:04","29","30","1.22","5.7","7.1","269","48.9% L / 51.1% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.35","11","0.0","00:30:12","00:30:21","--","10"
Running,2023-03-08 18:52:34,false,"Copenhagen - Main run 2023","5.85","455","00:30:19","154","166","3.5","175","182","5:11","4:27","27","28","1.24","6.2","7.9","274","49.6% L / 50.4% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.97","9","0.0","00:30:16","00:30:19","--","14"
Running,2023-03-06 18:16:38,false,"Copenhagen - Main run 2023","6.48","479","00:31:16","158","169","3.8","178","184","4:50","4:16","19","20","1.25","5.8","7.6","270","49.4% L / 50.6% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.13","11","0.0","00:31:13","00:31:16","--","12"
Running,2023-03-03 17:54:52,false,"Copenhagen - Main run 2023","6.58","459","00:30:18","160","171","3.7","180","189","4:36","3:59","14","15","1.22","5.9","7.5","266","49.1% L / 50.9% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.54","11","0.0","00:30:15","00:30:18","--","13"
Running,2023-03-01 20:28:28,false,"Copenhagen - Main run 2023","6.06","447","00:30:10","155","167","3.5","176","183","4:59","4:20","28","28","1.23","6.2","7.8","272","49.2% L / 50.8% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.48","11","0.0","00:30:08","00:30:11","--","10"
Running,2023-02-27 17:51:37,false,"Copenhagen - Main run 2023","7.10","465","00:30:12","162","170","3.8","185","192","4:15","3:47","29","28","1.17","5.7","6.9","261","49.2% L / 50.8% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.20","11","0.0","00:30:11","00:30:12","--","15"
Running,2023-02-24 18:23:47,false,"Copenhagen - Main run 2023","6.47","449","00:30:12","156","165","3.5","178","213","4:40","3:54","23","25","1.20","5.9","7.3","267","49.0% L / 51.0% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.45","11","0.0","00:29:42","00:30:12","--","14"
Running,2023-02-22 20:18:56,false,"Copenhagen - Main run 2023","6.73","454","00:30:18","159","169","3.6","181","191","4:30","3:52","27","29","1.20","5.8","7.2","264","49.0% L / 51.0% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.64","11","0.0","00:30:14","00:30:18","--","14"
Running,2023-02-20 18:17:54,false,"Copenhagen - Main run 2023","6.22","462","00:30:43","162","172","3.8","177","185","4:56","4:17","29","31","1.20","6.3","7.7","270","49.0% L / 51.0% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.97","10","0.0","00:30:40","00:30:43","--","11"
Running,2023-02-18 18:36:41,false,"Copenhagen - Main run 2023","6.59","463","00:30:51","161","170","3.7","179","188","4:41","3:57","32","30","1.20","6.0","7.4","267","49.3% L / 50.7% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.66","12","0.0","00:30:48","00:30:52","--","17"
Running,2023-02-15 18:06:54,false,"Copenhagen - Main run 2023","6.64","463","00:30:52","160","170","3.7","179","185","4:39","4:10","28","29","1.21","6.1","7.7","264","49.2% L / 50.8% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.60","11","0.0","00:30:50","00:30:52","--","16"
Running,2023-02-13 17:56:27,false,"Copenhagen - Main run 2023","5.96","475","00:31:24","161","172","3.8","174","179","5:16","4:39","3","5","1.23","6.2","7.8","276","49.4% L / 50.6% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.55","9","0.0","00:31:17","00:31:24","--","5"
